"id","name","parentGroupName","parentGroupId"
"8907","Volvo China Open 2024","Men","269"
"8907","Volvo China Open 2024","Men","269"
"30","MLB","USA","31"
"81","NHL","USA","82"
"5850","ITF Japan 05A (W)","ITF Women","106"
"61","NBA","USA","62"
"521","CONCACAF Champions League","International Clubs","66"
"5850","ITF Japan 05A (W)","ITF Women","106"
"5850","ITF Japan 05A (W)","ITF Women","106"
"7173","ATP Challenger Guangzhou","Challenger","46"
"5871","ITF Japan 05A Doubles (W)","ITF Women","106"
"8907","Volvo China Open 2024","Men","269"
