"id","startTime","messageTime","matchState","sportType","name","type","parameters","status","mostBalancedLine","sgpEligable"
"35b86d28-2adf-3131-87b1-372abcb09dc0","2024-05-01T00:00:00Z","2024-05-02T04:10:24.358Z","ONGOING","GOLF","Tournament Winner","winner","[]","OPEN","False","False"
"3e1b4e32-54c7-3c79-a0da-543e03a05b48","2024-05-01T23:50:00Z","2024-05-02T04:08:40.808Z","ONGOING","GOLF","Hole 9 Syme, Connor vs. Smith, Jordan","hole-x-2-ball-1x2","['9', 'Syme, Connor', 'Smith, Jordan']","OPEN","True","False"
"778df447-cf0f-3006-ad78-442da92043e4","2024-05-01T23:50:00Z","2024-05-02T04:08:40.808Z","ONGOING","GOLF","Hole 9 Syme, Connor vs. Zhang, Lian-Wei","hole-x-2-ball-1x2","['9', 'Syme, Connor', 'Zhang, Lian-Wei']","OPEN","False","False"
"d7d6a355-6620-3aa5-a918-423f0f6a3165","2024-05-01T23:50:00Z","2024-05-02T04:08:40.808Z","ONGOING","GOLF","Hole 9 Zhang, Lian-Wei vs. Smith, Jordan","hole-x-2-ball-1x2","['9', 'Zhang, Lian-Wei', 'Smith, Jordan']","OPEN","False","False"
"24af0dac-9580-3b7e-b7bc-73596e1228aa","2024-05-01T23:50:00Z","2024-05-02T04:08:40.808Z","ONGOING","GOLF","Hole 9 Winner","hole-x-3-ball","['9']","OPEN","False","False"
"7cc208d3-4ab7-3f48-a5b7-99014d22c068","2024-05-02T01:40:00Z","2024-05-02T04:10:55.484Z","ONGOING","BASEBALL","Moneyline","standard","[]","OPEN","False","True"
"1c5077e2-c785-38ef-85ba-e0a222fad18a","2024-05-02T01:40:00Z","2024-05-02T04:10:55.484Z","ONGOING","BASEBALL","1st 9 Innings Winner (incl. Tie)","standard-3-way","[]","OPEN","False","False"
"a67976b3-4cd6-3059-9e68-35fb2c02cf07","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","All Periods Over 1.5 ","all-sections-over-x","['1.5']","OPEN","False","False"
"103c9a99-5410-309f-9fe5-2a3dcbe37c82","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings Exact Goals","away-exact-goals-incl-overtime-and-penalties","['sr:exact_goals:3+']","OPEN","False","False"
"0f7ebe8f-18d7-3e5d-9c22-59eab3472f87","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings Highest Scoring Period","away-highest-scoring-section","[]","OPEN","False","False"
"aa32b37c-d1ba-3b68-a5a7-13de765ee056","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings To Score In All Periods","away-to-score-in-all-sections","[]","OPEN","False","False"
"5f8cd2f6-2f79-324c-89f9-c58ee4274cb1","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings To Win Any Period","away-to-win-any-section","[]","OPEN","False","False"
"efb30ed5-172e-3dd6-8080-6fc5bfa03f3c","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings Total Goals","away-total-incl-overtime-and-penalties","['2.5']","OPEN","True","False"
"ee9d1712-f55a-3d54-8509-6aaed445baf5","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Both Teams To Score & Winner","both-teams-to-score-1x2-incl-overtime-and-penalties","[]","OPEN","False","False"
"e87b14d5-6804-3563-b0be-5c2514fd611f","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Correct Score","correct-score-incl-overtime-and-penalties","[]","OPEN","False","False"
"0e9a893d-6ed9-3899-bd7b-d72c4369ac36","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Double Chance","double-chance","[]","OPEN","False","False"
"e8e91c68-32b8-36ab-82a0-6096299cb149","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Exact Goals","exact-goals-incl-overtime-and-penalties","['sr:exact_goals:9+_2']","OPEN","False","False"
"ebf6fbf6-3c06-38ba-9da2-1b7784c1de53","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Spread","handicap-incl-overtime-and-penalties","['0', '2.5']","OPEN","True","False"
"eda653f0-d935-3ad9-84bb-28e30dc83645","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Winner","head-to-head","[]","OPEN","True","False"
"932b0c4c-4dbd-30ed-a769-2333ffb28ce6","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Highest Scoring Period (incl. Tie)","highest-scoring-section","[]","OPEN","False","False"
"585465ce-a3cc-3260-a407-7a1a5ae05cf4","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Oilers Highest Scoring Period","home-highest-scoring-section","[]","OPEN","False","False"
"deb279f5-71d3-3e51-8bec-02cc352ba4cb","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Oilers To Score In All Periods","home-to-score-in-all-sections","[]","OPEN","False","False"
"5fe11bae-625c-3016-ac6c-1842a5d0d87a","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Oilers Total Goals","home-total-incl-overtime-and-penalties","['5.5']","OPEN","True","False"
"fd43bdd3-cc89-3013-aa32-2f5929915728","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Team to Score 7th Goal (Regulation Time)","next-point","['7']","OPEN","True","False"
"903f29e2-e945-3add-9108-f8a8073c9c0e","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Total Goals","points-more-less-than","['8.5']","OPEN","True","False"
"eba9d1d8-b8f7-36c6-8c98-d30de4926d94","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Winner (3 Way) No Push","standard","[]","OPEN","True","False"
"f44c942f-d213-3b69-a265-78de0a2abd77","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Moneyline","standard-full","[]","OPEN","True","False"
"4af0a213-8df8-3ea8-9ce2-d556c1d48f6c","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Oilers Total Goals (Regulation Time)","team-points-more-less","['1', '5.5']","OPEN","True","False"
"82bddd42-b18a-3499-b376-b638e42ceea2","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Kings Total Goals (Regulation Time)","team-points-more-less","['2', '2.5']","OPEN","True","False"
"1ce311a5-9a3a-3947-8201-b05cffc6d089","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Total Goals","total-incl-overtime-and-penalties","['8.5']","OPEN","True","False"
"a864b7d5-9db6-3ef0-a1a6-bcc06d692b01","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Winner (3 Way) No Push & Total Goals","totals-team-wins","['3.5']","OPEN","False","False"
"cc6c9bb1-1cf1-3b62-8bed-0dcd4a9fb6c6","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Winner (3 Way) No Push & Total Goals","totals-team-wins","['5.5']","OPEN","False","False"
"c339080a-9d81-3b08-8e67-8098e915cb2a","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Regulation Time Winner (3 Way) No Push & Total Goals","totals-team-wins","['7.5']","OPEN","False","False"
"2433ab6b-5221-36fa-accc-f7be7fc7011e","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","Winning Margin","winning-margin-include-overtime-and-penalties","[]","OPEN","False","False"
"7b5d0cb5-3e2c-369c-98fe-633affd360da","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","7th Goal ","xth-goal-incl-overtime-and-penalties","['7']","OPEN","True","False"
"5de49bd2-f007-32c3-88a5-ef48291635bb","2024-05-02T02:00:00Z","2024-05-02T04:09:50.903Z","ONGOING","ICE_HOCKEY","3rd Period Kings To Record A Shutout","xth-section-away-clean-sheet","['3']","OPEN","False","False"
