"id","name","isTraded","trueOdds","formatDecimal","formatAmerican","status"
"6e335a2f-80e1-3f74-87e3-b3281748020f","Li, Haotong","True","6.5","6.5","550","ONGOING"
"5ae98997-847c-3658-982d-f8bbb8046f84","Langasque, Romain","True","7.5","7.5","650","ONGOING"
"7ad4847d-93c2-36f9-8c72-3ae08fbbd81d","Soderberg, Sebastian","True","11.75","11.75","1075","ONGOING"
"d32cbec0-c028-3b10-93e1-5a40a6bfe80a","Migliozzi, Guido","True","17.75","17.75","1675","ONGOING"
"dda6f708-b59a-3f95-ab83-6dd2bf78de43","Guerrier, Julien","True","20.0","20.0","1900","ONGOING"
"a4db9952-591b-3ac1-a2ea-70532205bf63","Paul, Yannik","True","25.0","25.0","2400","ONGOING"
"ddb0b7ab-dd3b-38d1-b1a3-e6a90e8b517e","Armitage, Marcus","True","34.0","34.0","3300","ONGOING"
"e4d5e55a-4037-34de-8fbe-7d78d86efad6","Jarvis, Casey","True","36.0","36.0","3500","ONGOING"
"f1d6e316-5a16-30c0-97d5-5de4f0ee3d9b","Otaegui, Adrian","True","39.0","39.0","3800","ONGOING"
"b04e40b6-9a42-3a96-8695-1d719d33f9a2","Waring, Paul","True","39.0","39.0","3800","ONGOING"
"813be2b1-b9c8-377c-97a0-5d62ea48ed5d","Moeller, Niklas Noergaard","True","45.0","45.0","4400","ONGOING"
"7575c001-f7bd-3619-8f47-f00388890bc6","Girrbach, Joel","True","45.0","45.0","4400","ONGOING"
"96903234-c885-38af-9ca3-803987f2e6b1","Bairstow, Sam","True","45.0","45.0","4400","ONGOING"
"cea737af-af4f-3e21-b8c5-3c6545da25fe","Hillier, Daniel","True","45.0","45.0","4400","ONGOING"
"743c03fa-8d2f-39a8-8e9e-87d098974ac3","Lombard, Zander","True","50.0","50.0","4900","ONGOING"
"44d96d55-d3cc-365d-afc1-af2345fa8608","Ramsay, Richie","False","52.0","52.0","5100","ONGOING"
"341d7dc4-b0c1-3a47-afef-b37c228d573f","Apinbarnrat, Kiradej","True","56.0","56.0","5500","ONGOING"
"f8de4f28-c963-3690-b372-c1e501fab94e","Levy, Alexander","True","56.0","56.0","5500","ONGOING"
"9f0e4c85-dea8-3caf-bf2e-f91b104e693a","McKibbin, Tom","True","56.0","56.0","5500","ONGOING"
"24d8703f-145a-39a7-996f-95748cf019c7","Veerman, Johannes","True","56.0","56.0","5500","ONGOING"
"3b437fa5-0edd-3ffb-a8c6-9de1886f01a2","Smith, Jordan","True","68.0","68.0","6700","ONGOING"
"4196d2d5-5824-37f7-aacd-717e9c164669","Kruyswijk, Jacques","True","68.0","68.0","6700","ONGOING"
"65b42d27-7892-3749-8177-0ed6c6a06367","Sordet, Clement","True","68.0","68.0","6700","ONGOING"
