"id","name","position","abbreviation"
"1102","Capitals","HOME","WSH"
"1105","Rangers","AWAY","NYR"
"10078","Shimizu, Ayano","HOME","SHI"
"24901","Wong, Hong Yi Cody","AWAY","WON"
"31738","CD Walter Ferretti","HOME","WAF"
"31734","CD Ocotal","AWAY","OCO"
"16155","Mushika, Mio","HOME","MUS"
"2386","Okamura, Kyoka","AWAY","OKA"
"24876","Chong, Eudice Wong","HOME","CHO"
"10513","Hosogi, Sakura","AWAY","HOS"
"8851","Sema, Erika","HOME","SEM"
"857","Naito, Yuki","AWAY","NAI"
"134","Suns","HOME","PHX"
"123","Timberwolves","AWAY","MIN"
"37404","Grzegorczyk, Jakub","HOME","GRZ"
"70247","Fomin, Yurij","AWAY","FOM"
"34905","Lilien, Aleksander","HOME","LIL"
"35006","Radlo, Szymon","AWAY","RAD"
"67385","Kliuchuk, Rostyslav","HOME","KLI"
"67486","Hofman, Denis","AWAY","HOF"
